@relation parsed

@attribute home {Collingwood,Fremantle,'GWS Giants','Sydney Swans','Gold Coast Suns',Richmond,Carlton,'Port Adelaide','Geelong Cats','Adelaide Crows','North Melbourne',Essendon,Hawthorn,'Brisbane Lions','St Kilda',Melbourne,'West Coast Eagles','Western Bulldogs'}
@attribute away {Fremantle,Collingwood,'Sydney Swans','GWS Giants',Richmond,'Gold Coast Suns','Port Adelaide',Carlton,'Adelaide Crows','Geelong Cats',Essendon,'North Melbourne','Brisbane Lions',Hawthorn,Melbourne,'St Kilda','Western Bulldogs','West Coast Eagles'}
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa numeric
@attribute waa {MRVL,GS,MS,GMHBA,UTAS,DS,AO,ANZ,G,MCG,UNSW,SCG,WS,TP,TIO,BA,CS,AAJS,MARS,OS,RS}
@attribute xaa numeric
@attribute ptpa numeric
@attribute ptpb {'North Melbourne','Brisbane Lions',Melbourne,'Sydney Swans',Carlton,'Geelong Cats',Collingwood,Richmond,'GWS Giants',Fremantle,Hawthorn,'Adelaide Crows','St Kilda','Western Bulldogs','West Coast Eagles',Essendon,'Gold Coast Suns','Port Adelaide'}
@attribute adfkjfasd {'Brisbane Lions','North Melbourne','Sydney Swans',Melbourne,'Geelong Cats',Carlton,Richmond,Collingwood,Fremantle,'GWS Giants','Adelaide Crows',Hawthorn,'Western Bulldogs','St Kilda',Essendon,'West Coast Eagles','Gold Coast Suns','Port Adelaide'}
@attribute Result {loss,lwin,win}

@data
'North Melbourne',Essendon,9,6,159,132,291,73,18,63,110,180,290,40,4,9,44,60,75.3,31,9,12,1289,9,21,44,5,64.3,62,58,8,14,22.5,35,19,19,27,22,15,9,286,164,450,159,7,57,155,299,454,60,12,13,38,39,78.7,31,12,9,2013,17,35,30,7,53.6,58,62,12,28,25,46.7,25,26,32,28,MRVL,0,0,?,?,loss
Essendon,'North Melbourne',15,9,286,164,450,159,7,57,155,299,454,60,12,13,38,39,78.7,31,12,9,2013,17,35,30,7,53.6,58,62,12,28,25,46.7,25,26,32,28,9,6,159,132,291,73,18,63,110,180,290,40,4,9,44,60,75.3,31,9,12,1289,9,21,44,5,64.3,62,58,8,14,22.5,35,19,19,27,22,MRVL,0,0,?,?,lwin
Hawthorn,'Brisbane Lions',21,13,231,167,398,104,6,55,139,257,396,53,22,14,46,51,77.4,37,18,12,1726,16,24,37,20,67.7,53,57,10,31,39.6,58.5,24,30,30,30,13,13,184,128,312,74,6,65,124,183,307,50,12,7,41,47,69.9,42,12,18,1380,19,20,32,6,52,57,53,9,25,26,50,28,29,31,28,UTAS,0,0,?,?,win
'Brisbane Lions',Hawthorn,13,13,184,128,312,74,6,65,124,183,307,50,12,7,41,47,69.9,42,12,18,1380,19,20,32,6,52,57,53,9,25,26,50,28,29,31,28,21,13,231,167,398,104,6,55,139,257,396,53,22,14,46,51,77.4,37,18,12,1726,16,24,37,20,67.7,53,57,10,31,39.6,58.5,24,30,30,30,UTAS,0,0,?,?,loss
'St Kilda',Melbourne,10,8,227,121,348,118,27,54,125,224,349,38,8,8,34,41,74.7,40,16,10,1581,10,30,41,8,50,64,58,2,20,26.3,52.6,19,22,28,30,6,15,215,193,408,109,7,56,121,293,414,47,10,5,47,48,77.9,46,10,16,1642,7,23,28,5,31.6,58,64,10,19,12.8,40.4,24,17,20,14,MRVL,0,0,?,?,win
Melbourne,'St Kilda',6,15,215,193,408,109,7,56,121,293,414,47,10,5,47,48,77.9,46,10,16,1642,7,23,28,5,31.6,58,64,10,19,12.8,40.4,24,17,20,14,10,8,227,121,348,118,27,54,125,224,349,38,8,8,34,41,74.7,40,16,10,1581,10,30,41,8,50,64,58,2,20,26.3,52.6,19,22,28,30,MRVL,0,0,?,?,loss
'West Coast Eagles','Western Bulldogs',21,8,208,180,388,90,22,70,160,229,389,60,13,16,53,41,72.9,41,15,16,1688,14,28,25,14,63.6,62,74,11,33,35,55,23,25,27,35,11,3,191,204,395,76,15,65,125,260,385,37,8,5,31,47,74.4,47,15,15,1539,16,26,38,9,61.1,74,62,11,18,29.7,48.6,28,27,23,34,DS,0,0,?,?,win
'Western Bulldogs','West Coast Eagles',11,3,191,204,395,76,15,65,125,260,385,37,8,5,31,47,74.4,47,15,15,1539,16,26,38,9,61.1,74,62,11,18,29.7,48.6,28,27,23,34,21,8,208,180,388,90,22,70,160,229,389,60,13,16,53,41,72.9,41,15,16,1688,14,28,25,14,63.6,62,74,11,33,35,55,23,25,27,35,DS,0,0,?,?,loss
Essendon,Hawthorn,15,9,286,164,450,159,7,57,155,299,454,60,12,13,38,39,78.7,31,12,9,2013,20.4,42,30,7,53.6,58,62,12,28,25,46.7,30,31.2,38.4,33.6,21,13,231,167,398,104,6,55,139,257,396,53,22,14,46,51,77.4,37,18,12,1726,19.2,28.8,37,20,67.7,53,57,10,31,39.6,58.5,28.8,36,36,36,MRVL,37.44,46.08,'North Melbourne','Brisbane Lions',loss
Hawthorn,Essendon,21,13,231,167,398,104,6,55,139,257,396,53,22,14,46,51,77.4,37,18,12,1726,19.2,28.8,37,20,67.7,53,57,10,31,39.6,58.5,28.8,36,36,36,15,9,286,164,450,159,7,57,155,299,454,60,12,13,38,39,78.7,31,12,9,2013,20.4,42,30,7,53.6,58,62,12,28,25,46.7,30,31.2,38.4,33.6,MRVL,46.08,37.44,'Brisbane Lions','North Melbourne',lwin
