@relation parsed

@attribute home {Carlton,Melbourne,'Sydney Swans','Brisbane Lions','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,Hawthorn,'West Coast Eagles',Richmond,'GWS Giants',Collingwood,'Port Adelaide','Gold Coast Suns','Geelong Cats',Essendon,'North Melbourne'}
@attribute away {Richmond,'Gold Coast Suns',Essendon,Collingwood,'West Coast Eagles','GWS Giants','North Melbourne','Port Adelaide','Geelong Cats',Carlton,'Western Bulldogs',Melbourne,'Adelaide Crows','Sydney Swans','St Kilda',Fremantle,Hawthorn,'Brisbane Lions'}
@attribute percent numeric
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute zzzz numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa {MCG,ANZ,G,MRVL,AO,DS,UNSW,MS,GMHBA,SCG,UTAS,WS,BA,GS,TP,TIO,CS,AAJS,MARS,OS,RS}
@attribute waa numeric
@attribute xaa numeric
@attribute ptpa {'Western Bulldogs',Carlton,'St Kilda','Brisbane Lions',Fremantle,Melbourne,Hawthorn,'Sydney Swans','Adelaide Crows','West Coast Eagles',Collingwood,'Port Adelaide','North Melbourne',Essendon,Richmond,'Gold Coast Suns','GWS Giants','Geelong Cats'}
@attribute ptpb {Richmond,'West Coast Eagles','Gold Coast Suns','North Melbourne',Essendon,'GWS Giants','Port Adelaide','Geelong Cats',Collingwood,Hawthorn,Melbourne,'Sydney Swans','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,'Brisbane Lions',Carlton}
@attribute Result {loss,win}

@data
Fremantle,'Sydney Swans',0.252399,7.165028,7.376938,209.81618,161.145249,370.961429,83.361203,4.438988,62.503869,147.583939,224.185787,371.769726,47.501819,10.200288,11.449227,44.928894,55.237069,67.448163,60.228366,18.023882,19.813494,1504.644294,12.532318,38.033836,35.290322,5.36557,40.990307,72.441383,67.294381,14.338765,18.486652,15.703864,38.771385,27.269976,30.300442,27.311572,23.166628,8.390592,13.486578,202.699999,152.007588,354.707587,80.961595,11.639194,63.776741,128.325776,218.730042,347.055819,50.774705,14.526021,11.236084,20.773474,44.619903,69.080433,45.074022,16.797359,16.197841,1460.083404,11.110537,29.368051,45.246386,7.437527,34.881678,64.876912,66.739923,11.086885,24.021307,16.504547,47.344031,26.595042,27.928117,21.88173,27.861645,OS,-39.549773,-5.682742,Hawthorn,Carlton,win
'Geelong Cats',Hawthorn,0.618595,11.243928,12.12799,209.218402,165.023832,374.242234,80.871036,2.532698,72.120464,152.192449,214.77877,366.971219,54.217747,10.832126,11.195639,35.296832,50.924557,72.624968,49.83557,24.179634,16.321248,1575.633904,14.285324,30.970224,35.061258,8.697512,39.637186,66.4612,73.444674,19.864027,28.169735,20.540566,52.057893,30.395872,28.233533,24.115469,24.770884,11.402963,12.297766,219.514139,149.482076,368.996215,97.543331,3.570982,77.344323,142.561143,230.825393,373.386537,49.60872,11.813522,12.428771,42.668942,55.501623,72.451541,49.390668,18.526097,19.099961,1639.697707,12.357242,33.917372,34.580623,8.341343,48.026806,64.191571,71.859002,15.148337,23.712744,23.228692,48.070991,24.580904,31.283243,27.215038,25.29588,MCG,19.926892,25.0985,'St Kilda',Fremantle,loss
Melbourne,'West Coast Eagles',0.255477,10.047858,12.324692,205.746963,120.810914,326.557877,78.937051,1.892719,56.124832,148.077856,167.157857,315.235713,48.496519,9.478849,10.091023,50.653409,51.300635,68.539249,56.661633,23.940211,22.581505,1395.78896,13.367607,36.447047,38.59652,7.89983,42.835194,66.494022,63.714754,8.3089,23.255361,20.547167,47.907718,28.564657,25.04322,24.811541,22.222218,13.100605,5.789141,223.326411,133.923877,357.250288,93.309611,6.244122,67.342226,133.771507,221.500569,355.272076,44.628218,12.055973,10.832759,43.187807,62.099151,74.408979,57.468784,19.120377,20.77803,1569.194992,17.327699,36.814867,42.595136,9.41389,59.121029,75.976196,66.307976,7.457315,22.04878,29.22705,49.29091,26.459574,21.971031,18.333426,20.536731,TP,-6.620887,14.134835,'Western Bulldogs',Collingwood,loss
'St Kilda','Western Bulldogs',0.314141,8.548173,8.733015,205.277475,136.536229,341.813704,84.265915,0.842053,83.091688,142.325094,196.3812,338.706294,45.689337,8.180618,12.707011,39.289604,57.720962,71.431776,50.500634,14.582723,26.344639,1506.935119,14.310593,39.11722,42.138895,4.022996,46.019011,70.775313,65.369986,12.019162,18.513318,18.66396,40.505834,25.49896,27.873251,23.749306,30.176378,10.006592,13.255673,225.684558,148.017764,373.702321,103.124506,2.939301,71.082527,137.8647,226.904879,364.769579,51.143275,14.626522,14.484612,21.055127,50.993424,75.274055,53.739209,22.687865,22.134256,1615.492341,12.881393,24.927772,37.750778,5.424369,33.12339,64.841689,67.661789,8.326525,30.992833,19.559361,60.634191,27.883494,17.31306,23.676737,19.681992,MRVL,-29.267011,9.688943,'Geelong Cats',Melbourne,win
Collingwood,Richmond,0.339513,10.901199,9.460598,207.53307,187.346985,394.880055,86.177239,9.317748,68.720305,153.973532,236.685857,390.659389,60.144136,9.61929,10.127878,50.459105,37.436454,71.759053,53.17749,23.524393,14.655689,1633.284767,17.068407,32.199802,30.033817,9.63476,39.040796,67.803814,65.236469,8.628849,28.006986,18.349495,46.770058,31.092179,25.89177,29.311004,23.007618,14.9318,11.809082,206.687553,211.967311,418.654865,91.1266,14.043266,58.053882,148.83496,269.866591,418.701551,54.849267,11.385768,15.911004,33.779727,47.25875,76.198707,60.677994,19.314429,20.55303,1640.393243,12.853894,20.831837,38.03125,10.953381,57.540657,72.595657,81.695706,9.464106,26.092447,27.293611,47.500428,27.600466,27.994536,26.188427,26.028898,MCG,-37.827622,37.81423,'GWS Giants','Port Adelaide',loss
Hawthorn,'Brisbane Lions',0.807559,11.880593,12.859553,219.902828,147.496415,367.399243,97.908666,5.514196,58.668865,138.912229,230.165079,369.077307,49.121744,14.362704,12.085754,49.333788,51.100325,76.410308,43.478134,14.905219,21.419992,1563.939541,9.471448,29.783474,34.916125,11.268269,46.565361,64.838314,72.7718,13.429667,25.542549,24.245738,52.094198,28.916181,23.256649,22.443008,17.059176,12.408813,14.528569,220.267138,101.519705,321.786843,68.52326,2.760136,60.282392,160.291481,154.02081,314.31229,64.464677,8.740755,16.585058,43.085972,51.750003,66.946418,57.506081,25.338026,21.101015,1402.296752,17.031121,45.714239,33.792036,3.430621,42.030891,63.140145,71.282124,15.211308,29.605326,19.509492,46.167583,26.781268,26.559801,27.122155,27.51295,UTAS,24.2197,18.2,'Geelong Cats','North Melbourne',loss
Carlton,'Adelaide Crows',0.089706,14.012723,10.019616,234.051236,145.470933,379.522169,106.691913,9.626679,72.27988,144.062634,233.106821,377.169455,50.814988,11.06717,12.454718,35.893826,45.792674,71.11411,48.54098,17.624142,20.461314,1687.03467,10.919542,39.122275,40.195257,9.336091,52.088958,70.76812,73.535389,12.011612,26.924548,27.822765,53.088713,32.676889,26.071386,30.646412,19.334565,11.927124,14.602714,242.112789,187.058567,429.171356,109.512225,6.589969,52.301288,141.074881,276.915135,417.990016,53.6942,14.847696,9.036175,43.105651,40.892066,75.695972,47.774085,17.763295,17.149578,1729.498711,20.017989,36.891229,34.959583,9.549645,46.580315,75.469767,71.879207,8.865079,24.989753,21.6041,45.896392,26.264228,31.850044,26.513768,25.652455,MCG,20.183165,-3.549196,'Gold Coast Suns',Essendon,win
'West Coast Eagles','North Melbourne',0.763894,13.820121,6.757828,211.865282,116.384775,328.250058,97.861922,8.448824,64.668445,135.554301,186.700114,322.254415,48.125644,9.611195,12.566552,25.437561,40.41983,72.721796,42.693757,20.624075,19.355606,1496.238998,16.46554,30.362973,32.519027,9.082778,54.864206,58.395239,56.461595,7.891463,25.209756,28.72541,52.338182,28.291915,25.394206,25.666685,27.107346,12.151763,4.270644,198.254955,127.825699,326.080654,79.632815,2.99511,63.754988,136.928615,187.964462,324.893076,44.721191,11.497217,15.90151,47.867919,58.541804,74.605592,60.830606,18.506691,25.523436,1410.139173,14.284536,34.621818,50.840665,8.024183,57.443498,67.670508,62.884993,11.525818,21.387394,27.255392,47.640816,27.975154,25.907132,22.324327,27.547833,OS,13.226967,-8.890793,Melbourne,'Brisbane Lions',win
'St Kilda',Melbourne,0.387985,15.309635,12.946603,233.055495,147.307246,380.362741,106.453183,4.168411,61.418338,135.665019,245.67624,381.341259,45.937867,15.236124,7.341402,37.457921,52.344192,76.206355,52.500127,17.316545,26.868928,1635.787024,15.862119,34.823444,39.627779,13.604599,51.683802,58.955063,65.073997,11.203832,29.302664,33.332792,63.781167,28.099792,26.57465,26.749861,29.035276,10.809572,12.064938,208.349393,145.762183,354.111575,90.18741,1.178544,62.424966,144.815571,207.831571,352.647143,42.499304,13.89577,14.818205,54.930682,57.460127,73.54785,51.332327,19.988042,21.316301,1523.157792,13.673521,33.289409,35.719304,7.179966,46.807039,56.498804,55.942951,6.46178,23.051072,25.549433,54.461544,27.712931,27.008644,26.962308,27.444444,MRVL,15.746598,-11.724177,'Western Bulldogs','West Coast Eagles',win
'Port Adelaide','GWS Giants',0.381207,8.687811,9.721353,214.003896,180.524398,394.528294,93.461343,2.091217,56.732636,136.983857,249.101921,386.085778,47.281836,7.79895,10.180603,27.411288,57.142541,73.897099,58.891288,22.670054,18.873946,1564.196687,15.687218,32.09771,38.221142,5.376746,44.586964,82.505283,74.53393,8.326146,19.509414,18.577281,41.35992,27.688888,24.068978,27.827223,24.78882,17.077385,8.81791,233.862046,150.498468,384.360514,102.158469,5.488451,73.264559,154.110512,227.005666,381.116178,51.069901,12.919579,10.052671,39.481251,57.377455,71.565467,60.427996,14.876511,23.325154,1696.415299,15.113054,41.958979,49.480086,13.892283,59.865388,65.691866,68.54955,9.701055,28.230894,34.214549,55.849355,25.003291,22.698246,25.281455,27.502645,AO,-36.403963,32.630361,Richmond,Collingwood,loss
