Collingwood,North Melbourne, 1.89 , 1.92 ,,0,,,,,,,
West Coast,Geelong, 1.45 , 2.75 ,,0,,,,,,,
Fremantle,Richmond, 1.22 , 4.27 ,,0,,,,,,,
Carlton,Adelaide, 3.43 , 1.31 ,,0,,,,,,,
Gold Coast,Sydney, 14.72 , 1.02 ,,0,,,,,,,
Essendon,Geelong, 2.00 , 1.81 ,,0,,,,,,,
Port Adelaide,Western Bulldogs, 1.23 , 4.13 ,,0,,,,,,,
GWS Giants,Brisbane, 1.08 , 7.65 ,,0,,,,,,,
North Melbourne,West Coast, 2.10 , 1.73 ,,0,,,,,,,
St Kilda,Hawthorn, 12.71 , 1.02 ,,0,,,,,,,
Melbourne,Collingwood, 3.92 , 1.25 ,,0,,,,,,,
Port Adelaide,Geelong, 1.44 , 2.79 ,,0,,,,,,,
Gold Coast,Fremantle, 9.37 , 1.06 ,,0,,,,,,,
West Coast,Essendon, 1.14 , 5.65 ,,0,,,,,,,
North Melbourne,Sydney, 2.56 , 1.51 ,,0,,,,,,,
Collingwood,GWS Giants, 1.65 , 2.25 ,,0,,,,,,,
St Kilda,Melbourne, 1.65 , 2.24 ,,0,,,,,,,
Adelaide,Hawthorn, 2.99 , 1.40 ,,0,,,,,,,
Richmond,West Coast, 1.88 , 1.93 ,,0,,,,,,,
Carlton,Port Adelaide, 3.21 , 1.35 ,,0,,,,,,,
GWS Giants,North Melbourne, 2.96 , 1.40 ,,0,,,,,,,
Western Bulldogs,Brisbane, 1.29 , 3.68 ,,0,,,,,,,
Geelong,Melbourne, 1.11 , 6.49 ,,0,,,,,,,
Fremantle,Collingwood, 1.33 , 3.34 ,,0,,,,,,,
Sydney,Richmond, 1.34 , 3.31 ,,0,,,,,,,
Hawthorn,Essendon, 1.06 , 9.26 ,,0,,,,,,,
Brisbane,Adelaide, 3.55 , 1.30 ,,0,,,,,,,
St Kilda,Western Bulldogs, 2.55 , 1.51 ,,0,,,,,,,
Carlton,Gold Coast, 1.42 , 2.88 ,,0,,,,,,,
Sydney,Port Adelaide, 1.44 , 2.76 ,,0,,,,,,,
Collingwood,Hawthorn, 3.47 , 1.30 ,,0,,,,,,,
Richmond,GWS Giants, 1.18 , 4.87 ,,0,,,,,,,
Gold Coast,North Melbourne, 3.80 , 1.27 ,,0,,,,,,,
Western Bulldogs,Carlton, 1.39 , 3.03 ,,0,,,,,,,
Melbourne,West Coast, 4.53 , 1.20 ,,0,,,,,,,
Essendon,St Kilda, 1.70 , 2.14 ,,0,,,,,,,
Fremantle,Brisbane, 1.03 , 11.65 ,,0,,,,,,,
Port Adelaide,Collingwood, 1.81 , 2.00 ,,0,,,,,,,
Richmond,Carlton, 1.31 , 3.48 ,,0,,,,,,,
Essendon,Melbourne, 2.64 , 1.48 ,,0,,,,,,,
Western Bulldogs,Gold Coast, 1.65 , 2.25 ,,0,,,,,,,
North Melbourne,Geelong, 2.03 , 1.79 ,,0,,,,,,,
West Coast,Adelaide, 1.18 , 4.87 ,,0,,,,,,,
GWS Giants,St Kilda, 1.69 , 2.17 ,,0,,,,,,,
Hawthorn,Fremantle, 1.40 , 2.95 ,,0,,,,,,,
Brisbane,Sydney, 5.69 , 1.14 ,,0,,,,,,,
North Melbourne,Essendon, 1.20 , 4.52 ,,0,,,,,,,
Geelong,Western Bulldogs, 1.57 , 2.40 ,,0,,,,,,,
Gold Coast,GWS Giants, 2.23 , 1.66 ,,0,,,,,,,
Collingwood,West Coast, 2.45 , 1.55 ,,0,,,,,,,
Sydney,Hawthorn, 2.43 , 1.56 ,,0,,,,,,,
Fremantle,Carlton, 1.12 , 6.36 ,,0,,,,,,,
Melbourne,Brisbane, 1.61 , 2.32 ,,0,,,,,,,
Port Adelaide,Adelaide, 1.57 , 2.41 ,,0,,,,,,,
St Kilda,Richmond, 2.85 , 1.42 ,,0,,,,,,,
Carlton,Hawthorn, 14.09 , 1.02 ,,0,,,,,,,
GWS Giants,Geelong, 1.78 , 2.03 ,,0,,,,,,,
Adelaide,Gold Coast, 1.21 , 4.39 ,,0,,,,,,,
Richmond,Fremantle, 1.77 , 2.04 ,,0,,,,,,,
Essendon,Port Adelaide, 3.37 , 1.32 ,,0,,,,,,,
Brisbane,North Melbourne, 4.42 , 1.21 ,,0,,,,,,,
Western Bulldogs,Collingwood, 2.21 , 1.67 ,,0,,,,,,,
Melbourne,St Kilda, 2.04 , 1.79 ,,0,,,,,,,
West Coast,Sydney, 1.29 , 3.61 ,,0,,,,,,,
Hawthorn,Richmond, 1.17 , 5.03 ,,0,,,,,,,
Geelong,Brisbane, 1.11 , 6.73 ,,0,,,,,,,
Collingwood,Melbourne, 1.32 , 3.36 ,,0,,,,,,,
Sydney,Adelaide, 1.40 , 2.96 ,,0,,,,,,,
Carlton,North Melbourne, 5.55 , 1.14 ,,0,,,,,,,
Gold Coast,West Coast, 8.22 , 1.08 ,,0,,,,,,,
Port Adelaide,St Kilda, 1.19 , 4.63 ,,0,,,,,,,
Essendon,Western Bulldogs, 2.84 , 1.42 ,,0,,,,,,,
Fremantle,GWS Giants, 1.20 , 4.41 ,,0,,,,,,,
Adelaide,Richmond, 2.13 , 1.71 ,,0,,,,,,,
Collingwood,Carlton, 1.22 , 4.21 ,,0,,,,,,,
Western Bulldogs,Port Adelaide, 1.70 , 2.15 ,,0,,,,,,,
Brisbane,Gold Coast, 2.57 , 1.51 ,,0,,,,,,,
West Coast,Hawthorn, 2.40 , 1.56 ,,0,,,,,,,
Geelong,Sydney, 1.86 , 1.95 ,,0,,,,,,,
Melbourne,North Melbourne, 3.39 , 1.32 ,,0,,,,,,,
GWS Giants,Essendon, 1.26 , 3.88 ,,0,,,,,,,
St Kilda,Fremantle, 2.72 , 1.46 ,,0,,,,,,,
Sydney,Collingwood, 1.35 , 3.24 ,,0,,,,,,,
Essendon,Adelaide, 3.54 , 1.30 ,,0,,,,,,,
North Melbourne,St Kilda, 1.16 , 5.23 ,,0,,,,,,,
Port Adelaide,GWS Giants, 1.26 , 3.91 ,,0,,,,,,,
Geelong,Hawthorn, 4.17 , 1.23 ,,0,,,,,,,
Brisbane,Carlton, 1.64 , 2.27 ,,0,,,,,,,
Richmond,Gold Coast, 1.12 , 6.34 ,,0,,,,,,,
Western Bulldogs,Melbourne, 1.22 , 4.28 ,,0,,,,,,,
Fremantle,West Coast, 1.64 , 2.26 ,,0,,,,,,,
Hawthorn,Port Adelaide, 1.07 , 8.64 ,,0,,,,,,,
Collingwood,Richmond, 2.92 , 1.41 ,,0,,,,,,,
GWS Giants,Sydney, 2.53 , 1.52 ,,0,,,,,,,
Gold Coast,Essendon, 1.52 , 2.52 ,,0,,,,,,,
St Kilda,Geelong, 4.40 , 1.21 ,,0,,,,,,,
Adelaide,Brisbane, 1.07 , 8.81 ,,0,,,,,,,
North Melbourne,Fremantle, 1.66 , 2.23 ,,0,,,,,,,
Carlton,Melbourne, 3.08 , 1.38 ,,0,,,,,,,
West Coast,Western Bulldogs, 1.30 , 3.56 ,,0,,,,,,,
Geelong,Collingwood, 1.41 , 2.93 ,,0,,,,,,,
GWS Giants,Carlton, 1.20 , 4.59 ,,0,,,,,,,
Hawthorn,Brisbane, 1.02 , 12.60 ,,0,,,,,,,
North Melbourne,Western Bulldogs, 1.63 , 2.27 ,,0,,,,,,,
Essendon,Richmond, 6.35 , 1.12 ,,0,,,,,,,
Gold Coast,Port Adelaide, 3.22 , 1.35 ,,0,,,,,,,
Adelaide,West Coast, 2.01 , 1.78 ,,0,,,,,,,
St Kilda,Sydney, 4.16 , 1.23 ,,0,,,,,,,
Fremantle,Melbourne, 1.07 , 8.37 ,,0,,,,,,,
Collingwood,Essendon, 1.28 , 3.65 ,,0,,,,,,,
Port Adelaide,Fremantle, 1.06 , 8.64 ,,0,,,,,,,
Richmond,North Melbourne, 1.08 , 8.03 ,,0,,,,,,,
Hawthorn,Carlton, 1.01 , 14.36 ,,0,,,,,,,
Geelong,Adelaide, 2.16 , 1.69 ,,0,,,,,,,
Sydney,Gold Coast, 1.04 , 10.57 ,,0,,,,,,,
Melbourne,GWS Giants, 2.35 , 1.59 ,,0,,,,,,,
West Coast,St Kilda, 1.04 , 10.33 ,,0,,,,,,,
Brisbane,Western Bulldogs, 4.24 , 1.22 ,,0,,,,,,,
Fremantle,Sydney, 1.33 , 3.35 ,,0,,,,,,,
West Coast,Hawthorn, 2.39 , 1.57 ,,0,,,,,,,
Western Bulldogs,Adelaide, 1.90 , 1.90 ,,0,,,,,,,
Richmond,North Melbourne, 1.58 , 2.38 ,,0,,,,,,,
Hawthorn,Adelaide, 1.30 , 3.56 ,,0,,,,,,,
Sydney,North Melbourne, 1.62 , 2.30 ,,0,,,,,,,
Fremantle,Hawthorn, 2.25 , 1.65 ,,0,,,,,,,
West Coast,North Melbourne, 1.19 , 4.74 ,,0,,,,,,,
Hawthorn,West Coast, 1.58 , 2.39 ,,0,,,,,,,
Richmond,Carlton, 1.23 , 4.11 ,,0,,,,,,,
Melbourne,GWS Giants, 2.45 , 1.55 ,,0,,,,,,,
Gold Coast,Essendon, 1.14 , 5.93 ,,0,,,,,,,
North Melbourne,Adelaide, 1.43 , 2.81 ,,0,,,,,,,
Sydney,Collingwood, 1.58 , 2.37 ,,0,,,,,,,
