@relation parsed

@attribute home {Carlton,Melbourne,'Sydney Swans','Brisbane Lions','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,Hawthorn,'West Coast Eagles',Richmond,'GWS Giants',Collingwood,'Port Adelaide','Gold Coast Suns','Geelong Cats',Essendon,'North Melbourne'}
@attribute away {Richmond,'Gold Coast Suns',Essendon,Collingwood,'West Coast Eagles','GWS Giants','North Melbourne','Port Adelaide','Geelong Cats',Carlton,'Western Bulldogs',Melbourne,'Adelaide Crows','Sydney Swans','St Kilda',Fremantle,Hawthorn,'Brisbane Lions'}
@attribute percent numeric
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute zzzz numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa {MCG,ANZ,G,MRVL,AO,DS,UNSW,MS,GMHBA,SCG,UTAS,WS,BA,GS,TP,TIO,CS,AAJS,MARS,OS,RS}
@attribute waa numeric
@attribute xaa numeric
@attribute ptpa {'Western Bulldogs',Carlton,'St Kilda','Brisbane Lions',Fremantle,Melbourne,Hawthorn,'Sydney Swans','Adelaide Crows','West Coast Eagles',Collingwood,'Port Adelaide','North Melbourne',Essendon,Richmond,'Gold Coast Suns','GWS Giants','Geelong Cats'}
@attribute ptpb {Richmond,'West Coast Eagles','Gold Coast Suns','North Melbourne',Essendon,'GWS Giants','Port Adelaide','Geelong Cats',Collingwood,Hawthorn,Melbourne,'Sydney Swans','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,'Brisbane Lions',Carlton}
@attribute Result {loss,win}

@data
'Gold Coast Suns','Western Bulldogs',0.164887,12.179239,12.80834,182.299437,109.806165,292.105602,65.137701,1.369466,56.345414,126.561868,164.442847,291.004715,49.334426,7.240547,5.814801,36.569128,42.898693,66.344221,54.139151,18.739255,25.318461,1250.102299,14.278652,29.410731,35.576545,4.190936,43.438837,66.039302,72.897404,7.02522,28.422069,24.758766,57.296015,27.614178,29.273665,27.607841,20.81297,12.812417,8.986421,177.521702,136.438556,313.960259,69.461475,1.398893,45.666755,125.479743,177.155278,302.635021,48.625014,9.695938,11.183612,17.901256,32.193779,70.349144,39.888906,17.516527,12.206344,1278.328113,14.652967,22.799837,33.365381,6.906799,49.155573,55.307336,54.825332,7.54666,25.878728,26.59756,53.573246,29.032533,22.732995,24.05877,22.736622,MS,21.854974,27.044783,'Sydney Swans',Essendon,loss
'GWS Giants',Richmond,0.394567,9.448092,8.21324,166.665293,128.522777,295.188069,60.077018,6.375818,40.427707,125.22982,169.551233,294.781053,33.59819,5.337251,6.877477,28.88379,50.443781,71.092895,54.287736,21.918848,19.14395,1155.893411,17.208199,26.132405,41.577555,6.033353,48.929458,56.360924,57.517601,4.462898,19.222785,28.23022,57.225388,25.599486,25.840772,24.874373,24.628769,9.896706,10.682469,182.188509,118.685468,300.873978,87.61874,6.221826,48.126245,94.554216,203.803307,298.357523,50.847108,11.364383,5.397171,24.925247,45.380587,77.973016,40.909187,12.354456,18.333315,1289.65246,7.524013,18.70796,27.227218,3.968254,47.978085,49.126973,58.296927,8.83773,20.245187,19.649266,40.055171,27.659396,23.616473,21.476444,15.648222,GS,-17.654298,45.138841,'Brisbane Lions','North Melbourne',win
'North Melbourne',Carlton,0.752081,2.945101,10.872349,166.196499,135.974488,302.170987,61.100617,0.055959,44.097278,113.863225,179.240415,293.10364,31.475102,7.929066,6.952912,28.84684,33.851491,71.537887,43.762999,18.346756,12.354357,1165.278657,11.294905,28.54881,37.854239,1.218598,22.185001,58.38114,47.662349,4.403564,12.356333,8.653507,39.246491,20.77175,15.080794,16.727427,14.980091,10.078674,7.020399,172.09891,98.97968,271.078589,66.579173,5.329792,46.008069,117.139994,148.176581,265.316574,37.592646,9.225154,12.167584,26.3368,33.785155,71.504802,45.092367,16.205761,19.916198,1146.184848,11.813239,21.017953,37.14534,7.719753,55.538109,61.748475,59.95017,8.728881,17.922651,26.592484,47.601747,30.466526,23.535833,20.902865,28.550379,G,-47.042252,5.350786,Richmond,'Port Adelaide',loss
'Sydney Swans',Hawthorn,0.469467,7.920388,6.37797,172.336444,117.132125,289.468569,52.788423,2.607196,57.339538,133.269689,144.735185,278.004875,42.895277,6.048345,9.922041,17.448131,55.423108,69.638815,57.269163,26.124851,18.696378,1178.77064,11.357661,21.034623,40.285872,3.748363,53.350674,73.003307,67.860539,8.78731,14.662533,18.131584,34.391656,26.71213,26.839629,26.870918,20.924761,6.371996,6.536104,164.304453,122.708017,287.01247,84.645944,0.922195,36.150715,100.218877,185.719697,285.938573,33.082105,5.499362,10.4578,18.724292,33.017897,77.396174,43.823464,15.690137,17.64241,1161.099806,8.46322,15.317625,36.156513,5.155583,39.65261,56.306399,59.42581,4.270906,16.0899,19.213333,48.672446,24.359878,19.85188,21.055805,22.988264,SCG,-28.133953,-40.555069,'Gold Coast Suns',Melbourne,win
'Port Adelaide','St Kilda',0.671577,8.940409,9.909895,185.472719,119.082704,304.555423,83.907067,7.635944,48.001528,117.287697,185.039048,302.326745,46.479539,11.585899,12.564554,19.978568,45.249306,74.807238,41.082415,19.067115,15.926838,1293.019977,13.671937,18.228608,27.112528,6.747114,39.881251,61.631122,60.815634,6.964406,22.437231,19.260512,48.494683,13.138961,36.151889,22.297947,16.293877,11.81845,6.173985,173.791374,86.736865,260.528239,63.713614,1.1888,54.710793,117.127301,135.587106,252.714407,35.979649,4.970022,8.697627,33.785592,37.094335,68.99825,55.320655,18.334844,27.418876,1149.346737,17.619507,25.730518,30.785537,5.568582,61.029555,56.997734,59.57173,11.858754,19.434771,33.001686,54.053262,24.054059,24.642401,20.35144,17.435671,AO,4.352673,18.13548,Carlton,'Adelaide Crows',loss
'Adelaide Crows',Essendon,0.613095,7.379915,6.593657,168.307656,123.917372,292.225028,68.987182,0.233364,47.448145,110.547296,175.874655,286.421951,37.409637,5.828066,12.034057,26.709651,40.336796,72.257321,50.156101,26.642764,18.618107,1196.165022,8.067785,27.52011,25.910262,2.180294,44.94386,61.330389,56.789566,9.092286,16.530871,19.816141,44.031316,25.745218,30.946615,25.528105,25.643321,7.429457,9.406897,164.777111,143.244826,308.021938,71.883892,6.180604,43.485492,99.186065,195.454571,294.640636,42.721583,12.683574,8.741694,34.587764,29.814118,74.05946,52.410779,12.969164,17.59111,1218.168753,15.121237,15.248614,34.624814,4.367963,37.31517,54.225802,56.549565,8.396557,20.255407,17.464498,47.368419,23.667567,19.314664,22.637086,18.654956,AO,-24.64448,-30.880094,'St Kilda','Western Bulldogs',loss
'West Coast Eagles',Collingwood,0.636251,9.200373,7.917224,204.392161,112.772011,317.164172,106.680249,4.444256,44.95343,118.439703,203.677188,322.116891,42.432113,7.411181,13.395629,26.248007,49.821496,77.411843,33.183338,13.688055,13.822473,1398.544809,11.255117,24.12734,20.8621,4.37919,46.130457,54.318332,61.08821,11.020905,19.966704,21.747581,47.301801,22.375699,21.302922,23.358865,22.437321,7.979001,9.22959,179.457266,145.760214,325.21748,58.344667,2.950854,62.743931,138.469347,180.62061,319.089957,46.001402,9.286187,7.640237,42.520112,45.388575,68.225649,37.176406,21.498605,10.91539,1340.744747,11.19596,36.435902,25.691755,5.067512,45.036625,60.082066,59.582568,7.790895,17.725063,17.351689,38.507103,27.209809,27.939885,25.630249,26.297306,OS,30.01241,22.286172,Fremantle,'Geelong Cats',loss
Melbourne,'Brisbane Lions',0.571245,13.427117,7.069896,174.116572,135.841261,309.957833,76.798645,4.48339,45.656347,124.15401,184.734076,308.888086,52.616402,14.261953,17.64867,30.150814,33.608359,75.334241,44.597926,16.75658,16.186583,1292.515028,18.928848,19.586747,26.074363,10.33374,62.639105,59.08379,54.970592,10.239052,21.371063,25.429337,40.549272,28.022124,28.288313,17.979662,21.904844,11.824466,10.184016,186.085091,85.445951,271.531043,88.488846,1.171904,39.500267,109.466356,161.602225,271.06858,53.684547,10.918697,9.838902,33.771151,33.478347,71.419033,48.046559,20.63782,22.918168,1217.854511,10.629717,32.570912,23.507108,6.658467,48.124275,53.657253,55.865905,8.671096,24.301401,21.738924,44.895897,22.937305,22.543665,22.959805,24.06315,MS,36.230319,13.140702,Hawthorn,'GWS Giants',win
Fremantle,'Geelong Cats',0.206318,6.242659,2.94554,159.779978,120.795658,280.575636,72.748674,1.80556,43.782462,111.400294,170.919757,282.32005,29.322311,7.424475,10.073204,23.063835,40.534857,74.608069,40.851569,14.62049,13.326221,1151.258138,11.359729,18.680188,31.602432,4.89179,50.990863,60.546087,54.937659,5.570568,12.089226,20.620836,40.399463,27.020015,24.300834,21.478379,20.608517,6.239919,5.520123,181.416216,108.130801,289.547017,63.400768,0.07217,52.161146,123.124973,157.258725,280.383699,32.794888,5.481532,5.011804,30.361869,50.86971,66.119529,48.275206,11.680228,22.452684,1175.038032,8.633006,38.742575,36.418127,4.792448,45.963031,56.707133,58.153872,7.495542,13.479768,18.496166,40.150134,23.913984,21.666695,15.323411,15.121318,OS,-22.502621,-12.065534,'West Coast Eagles',Collingwood,win
