@relation 'parsed-weka.filters.supervised.attribute.AddClassification-classification-Wweka.classifiers.bayes.BayesNet -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5'

@attribute home {Carlton,Melbourne,'Sydney Swans','Brisbane Lions','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,Hawthorn,'West Coast Eagles',Richmond,'GWS Giants',Collingwood,'Port Adelaide','Gold Coast Suns','Geelong Cats',Essendon,'North Melbourne'}
@attribute away {Richmond,'Gold Coast Suns',Essendon,Collingwood,'West Coast Eagles','GWS Giants','North Melbourne','Port Adelaide','Geelong Cats',Carlton,'Western Bulldogs',Melbourne,'Adelaide Crows','Sydney Swans','St Kilda',Fremantle,Hawthorn,'Brisbane Lions'}
@attribute percent numeric
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute zzzz numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa {MCG,ANZ,G,MRVL,AO,DS,UNSW,MS,GMHBA,SCG,UTAS,WS,BA,GS,TP,TIO,CS,AAJS,MARS,OS,RS}
@attribute waa numeric
@attribute xaa numeric
@attribute ptpa {'Western Bulldogs',Carlton,'St Kilda','Brisbane Lions',Fremantle,Melbourne,Hawthorn,'Sydney Swans','Adelaide Crows','West Coast Eagles',Collingwood,'Port Adelaide','North Melbourne',Essendon,Richmond,'Gold Coast Suns','GWS Giants','Geelong Cats'}
@attribute ptpb {Richmond,'West Coast Eagles','Gold Coast Suns','North Melbourne',Essendon,'GWS Giants','Port Adelaide','Geelong Cats',Collingwood,Hawthorn,Melbourne,'Sydney Swans','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,'Brisbane Lions',Carlton}
@attribute Result {loss,win}
@attribute classification {loss,win}

@data
'Port Adelaide',Richmond,0.583511,8.583523,7.695279,172.299782,129.720662,302.020443,67.167257,1.245088,72.192012,138.154302,164.232312,302.386614,37.043836,7.420687,18.884516,37.951829,54.697994,72.006458,49.256659,17.912537,14.559415,1337.48016,10.509375,29.785829,31.5449,7.125977,44.58465,63.213049,64.614525,10.263715,19.155498,23.088484,51.619957,25.825112,23.049215,25.178384,23.930351,11.951174,10.45346,181.969508,113.397484,295.366992,79.29295,4.849775,40.83301,104.596434,182.270427,286.86686,44.758777,11.802915,12.043177,24.807402,27.307045,76.095784,56.839273,13.538836,18.610667,1235.43722,12.500192,13.509664,33.241818,8.927746,56.115025,56.649016,57.650375,5.926702,21.249962,26.749194,47.466041,25.621275,28.388932,23.971812,24.725186,AO,17.666821,39.337111,'Western Bulldogs','Brisbane Lions',win,loss
'Brisbane Lions','Western Bulldogs',0.668388,5.758596,15.153472,209.904681,90.699568,300.604248,114.275911,1.289375,37.340002,102.475731,196.940818,299.416549,39.693476,9.11135,8.206711,23.246169,33.419827,73.313752,34.912372,19.013103,12.215345,1357.582836,9.925038,26.620567,32.284057,2.741268,26.589794,55.277258,57.982927,5.285369,21.378411,14.756311,53.936767,23.703498,27.580349,17.983678,21.112505,5.446499,11.079891,154.540174,136.099509,290.639682,45.291692,1.835191,58.989334,135.019838,160.105242,295.12508,38.373,5.965568,6.137469,27.43921,45.53755,67.941993,41.887111,15.276132,18.273651,1135.794625,7.957224,32.582399,27.658923,4.311254,29.686045,64.762459,62.550603,13.468373,18.54303,14.25758,48.255786,27.79226,18.781864,21.75247,21.341893,G,-22.486874,-16.583642,Richmond,'Port Adelaide',win,loss
'West Coast Eagles',Carlton,0.714618,12.048015,6.396689,170.895687,96.03088,266.926567,63.62721,4.49777,46.278137,111.777588,153.587087,265.364676,43.297285,10.536447,10.295825,36.72992,47.75286,70.760474,39.727334,15.907522,13.512899,1170.661792,13.050205,29.765094,28.834484,8.175168,54.837218,47.932733,52.043528,11.480836,21.758668,28.613903,51.140072,26.495028,22.052117,21.134355,23.897493,9.043147,5.080816,152.803956,98.839187,251.643144,54.663167,2.773192,57.200323,111.7256,131.047063,242.772663,38.943706,7.409006,11.046703,20.093472,37.511406,68.252192,48.683695,23.68823,22.716648,1082.807394,14.27253,29.840718,28.045814,4.30879,61.245524,62.629939,52.958007,10.429155,14.956906,23.735699,38.65607,31.818661,26.141433,20.036115,22.142015,OS,18.960496,-23.465969,'Geelong Cats',Hawthorn,win,win
Melbourne,'North Melbourne',0.635568,11.371417,9.560559,171.152933,118.97473,290.127663,64.486389,1.635867,53.549251,131.553232,150.501873,282.055105,42.692931,9.106096,13.805189,43.089207,40.172867,66.343474,53.956783,16.966053,24.417493,1221.86012,9.991431,32.196694,29.264595,5.65067,51.947513,61.36867,65.847765,16.785912,21.194969,25.934635,49.236394,26.744177,23.706307,24.023837,27.055239,10.551561,3.382979,163.089572,130.335796,293.425368,55.368805,3.552448,53.728778,104.782906,177.849923,282.632829,45.243801,5.791433,4.247623,25.478775,39.566812,74.629903,45.022104,18.290774,17.186835,1188.714229,14.570359,24.94839,32.750834,8.713749,73.65588,60.659049,50.365299,11.171229,14.434851,23.109228,31.696372,23.766174,19.600646,20.653819,25.799841,AO,32.801843,-15.960338,'Adelaide Crows','Geelong Cats',win,win
'St Kilda','Geelong Cats',0.573067,12.478548,6.641392,193.262331,118.389895,311.652226,77.725709,5.83351,47.125686,130.985018,179.452697,310.437715,47.839837,8.16776,13.541581,29.550285,51.880755,71.943986,46.266565,17.618679,18.619351,1309.290774,16.220956,15.365844,37.142284,7.052549,57.323436,63.943982,69.916574,10.43087,21.819478,26.049613,45.520426,27.752432,28.997139,22.122812,25.699485,12.241919,10.668161,186.28333,130.177046,316.460376,72.507206,1.632577,41.313289,118.777,186.15407,304.93107,46.406359,12.971852,6.952094,27.922895,35.542958,70.538556,40.546202,15.357442,17.587621,1274.872304,17.989064,29.389941,34.371345,9.44634,51.145304,50.437657,59.921231,6.043964,24.651838,26.333569,52.602801,30.511312,25.253334,25.602587,26.440971,G,12.753084,25.887476,'Gold Coast Suns','North Melbourne',win,loss
Fremantle,Hawthorn,0.494002,8.569706,1.557822,185.111199,136.031826,321.143025,61.469947,1.992222,55.031298,146.856012,173.39679,320.252802,32.692892,5.416979,7.602928,30.202553,43.061394,64.536323,49.954063,17.22482,10.453049,1300.770326,12.054389,39.947208,36.304097,6.755672,56.039635,69.301843,64.917506,7.102823,14.563569,25.528833,44.031979,22.480801,28.572033,28.859135,25.824341,12.57488,6.021444,168.652178,117.228321,285.880499,64.185838,2.436888,44.006029,123.848755,166.948788,290.797543,43.403284,11.899974,10.178312,38.988972,40.200716,69.463847,53.912939,19.507605,23.425696,1177.643992,15.338529,15.612705,27.366261,8.366223,56.898104,53.612256,64.297032,7.210836,21.763596,29.520533,50.922898,28.574395,25.794075,23.042232,22.519531,OS,3.579895,22.057797,Collingwood,Carlton,win,win
'Adelaide Crows',Collingwood,0.045306,5.435039,7.284749,135.010461,120.351339,255.3618,41.191897,4.129867,67.387585,113.396378,130.590997,243.987376,33.899277,4.174625,10.048272,30.197677,36.898694,67.790859,44.785249,24.245142,17.108945,1078.62532,12.304542,21.140161,30.863282,2.289442,35.354751,63.914643,60.454317,16.392738,15.300247,15.992129,45.206651,26.485962,24.407573,23.484225,25.525147,6.175832,12.681837,179.003658,148.782082,327.78574,68.786757,1.847607,59.605951,130.483755,190.116965,320.60072,48.432011,5.130289,3.485122,35.764161,39.467109,64.699405,44.009411,20.683989,12.279323,1343.909958,8.089568,32.251487,26.029534,3.49654,30.977893,59.360657,69.148661,8.670327,21.1658,12.865214,43.408857,22.257678,25.863519,26.365042,12.290378,AO,-52.133156,3.346289,Melbourne,'Sydney Swans',loss,loss
'Gold Coast Suns',Essendon,0.311689,9.729434,8.582467,177.778395,128.110449,305.888845,55.465102,2.506956,49.282763,132.052495,164.099543,296.152038,48.938675,6.521924,10.510518,27.748553,37.75119,68.908354,46.865113,17.525914,17.898548,1210.224818,15.514229,25.275286,34.172612,4.513527,48.910711,70.160314,65.383179,5.112202,19.715377,19.53567,40.503168,25.620913,29.674189,23.300863,28.526504,7.227436,7.531255,175.750217,122.297959,298.048176,64.447071,5.297445,44.219884,118.809489,166.843637,285.653125,39.765773,7.429469,4.389934,24.116702,42.350513,65.754076,61.027286,18.503753,25.292729,1157.87335,12.16097,32.361989,36.340999,4.290944,42.359321,62.033806,56.036397,5.923172,16.994043,18.286916,42.785347,17.909341,27.514517,19.461097,17.22924,MS,-7.34516,-13.431041,'St Kilda','GWS Giants',win,loss
