home,away,percent,aaa,aab,aac,aad,aae,aaf,aag,aah,aai,aaj,aak,aal,zzzz,aam,aan,aao,aap,aaq,aar,aas,aat,aau,aav,aaw,aax,aay,aaz,aba,aca,ada,aea,afa,aga,aha,aia,aja,aka,ala,ama,ana,aoa,apa,aqa,ara,asa,ata,aua,ava,awa,axa,aya,aza,baa,caa,daa,eaa,faa,gaa,haa,iaa,jaa,kaa,laa,maa,naa,oaa,paa,qaa,raa,saa,taa,uaa,vaa,waa,xaa,ptpa,ptpb,Result
Richmond,Western Bulldogs,0.5000000150000002,15.0,15.0,200.0,155.0,355.0,91.0,29.000000000000004,51.00000000000001,121.00000000000001,227.00000000000003,348.00000000000006,54.0,12.000000000000002,13.0,39.0,39.0,76.9,43.0,20.0,20.0,1491.0,10.8,21.6,35.0,10.0,48.4,55.0,65.0,10.0,31.0,27.800000000000004,57.400000000000006,27.6,34.8,25.2,37.2,14.000000000000002,13.0,208.0,164.00000000000003,372.0,79.0,14.000000000000002,94.0,156.0,214.00000000000003,370.0,58.00000000000001,10.0,5.0,36.0,40.0,73.9,42.0,20.0,19.0,1661.0000000000002,16.8,43.2,27.0,3.0000000000000004,43.8,58.00000000000001,61.00000000000001,25.0,32.0,24.1,55.2,30.0,31.2,34.8,43.2,MCG,21.6,8.0,Carlton,West Coast Eagles,loss
GWS Giants,Melbourne,0.5000000150000002,12.000000000000002,15.0,187.0,166.0,353.00000000000006,92.00000000000001,12.000000000000002,42.0,122.00000000000001,232.00000000000003,354.0,54.0,10.0,13.0,43.0,51.00000000000001,75.9,46.00000000000001,25.0,20.0,1432.0000000000002,14.4,26.4,41.00000000000001,8.0,46.2,62.0,65.0,5.0,26.0,22.200000000000003,48.10000000000001,30.0,26.4,28.8,28.8,17.0,13.0,221.0,126.00000000000001,347.0,98.0,3.0000000000000004,66.0,150.0,198.0,348.00000000000006,52.0,11.0,16.0,34.0,37.0,70.9,41.00000000000001,21.0,16.0,1595.0,20.4,21.6,33.0,10.0,54.800000000000004,59.0,68.0,9.0,31.0,32.7,59.60000000000001,32.4,31.2,37.2,37.2,UNSW,7.2,20.8,St Kilda,Gold Coast Suns,win
Collingwood,Adelaide Crows,0.5000000150000002,12.000000000000002,14.000000000000002,197.00000000000003,149.0,346.0,52.0,2.0,76.0,165.0,179.00000000000003,344.0,61.00000000000001,17.0,12.000000000000002,36.0,53.00000000000001,66.8,54.0,17.0,21.0,1425.0,12.0,37.2,36.0,10.0,37.5,73.0,72.0,9.0,32.0,19.7,52.5,33.6,39.6,31.2,30.0,21.0,14.000000000000002,241.0,125.0,366.0,114.0,19.0,57.0,142.0,224.00000000000003,366.0,63.00000000000001,22.0,13.0,32.0,43.0,74.3,50.0,16.0,17.0,1680.0,21.6,27.6,37.0,16.0,60.0,68.0,70.0,6.000000000000001,35.0,33.3,55.60000000000001,33.6,32.4,26.4,27.6,MRVL,9.600000000000001,61.6,Brisbane Lions,North Melbourne,loss
Port Adelaide,Sydney Swans,0.22676853331299218,10.0,8.0,224.00000000000003,166.0,390.0,128.0,11.0,73.0,112.00000000000001,284.0,396.0,42.0,10.0,6.000000000000001,25.0,45.0,79.0,53.00000000000001,20.0,27.0,1712.0000000000002,7.2,28.8,46.00000000000001,7.000000000000001,47.60000000000001,63.00000000000001,62.0,12.000000000000002,21.0,23.800000000000004,50.0,38.4,25.2,25.2,34.8,10.0,12.000000000000002,204.00000000000003,170.0,374.0,50.0,2.0,71.0,176.0,192.00000000000003,368.00000000000006,60.0,5.0,6.000000000000001,66.0,52.0,66.3,57.0,24.000000000000004,25.0,1473.0,13.2,52.8,34.0,7.000000000000001,43.50000000000001,79.0,77.0,5.0,23.000000000000004,16.7,38.3,31.2,25.2,39.6,22.8,AO,-5.6000000000000005,9.600000000000001,Fremantle,Essendon,loss
Gold Coast Suns,St Kilda,0.5000000150000002,13.0,11.0,197.00000000000003,104.0,301.0,80.0,6.000000000000001,53.00000000000001,136.0,165.0,301.0,47.0,16.0,11.0,45.0,45.0,67.4,50.0,16.0,21.0,1338.0,19.2,31.2,35.0,7.000000000000001,54.20000000000001,68.0,59.0,11.0,24.000000000000004,27.7,51.1,31.2,25.2,24.0,28.8,11.0,12.000000000000002,199.00000000000003,133.0,332.0,96.00000000000001,10.0,49.0,128.0,214.00000000000003,342.0,52.0,11.0,13.0,29.000000000000004,41.00000000000001,73.8,51.00000000000001,20.0,25.0,1399.0,10.8,33.6,41.00000000000001,8.0,55.0,64.0,62.0,6.000000000000001,20.0,21.200000000000003,38.5,33.6,34.8,30.0,30.0,MS,-20.8,-7.2,Melbourne,GWS Giants,loss
Geelong Cats,Fremantle,0.22676853331299218,8.0,13.0,190.0,155.0,345.0,99.0,5.0,56.00000000000001,114.0,234.00000000000003,348.00000000000006,42.0,13.0,9.0,26.0,47.0,74.2,41.00000000000001,21.0,18.0,1455.0,15.6,14.4,43.0,6.000000000000001,32.0,65.0,52.0,5.0,25.0,19.0,59.5,32.4,26.4,28.8,26.4,11.0,9.0,200.0,166.0,366.0,73.0,6.000000000000001,41.00000000000001,138.0,230.0,368.00000000000006,58.00000000000001,5.0,9.0,51.00000000000001,39.0,73.5,44.0,27.0,20.0,1408.0,19.2,30.0,32.0,7.000000000000001,57.9,62.0,63.00000000000001,5.0,19.0,19.0,32.8,32.4,27.6,30.0,31.2,GMHBA,-49.6,5.6000000000000005,Hawthorn,Port Adelaide,loss
Essendon,Hawthorn,0.22676853331299218,9.0,6.000000000000001,217.00000000000003,122.00000000000001,339.0,60.0,3.0000000000000004,77.0,150.0,171.0,321.0,44.0,2.0,2.0,48.00000000000001,50.0,66.7,56.00000000000001,25.0,24.000000000000004,1444.0,10.8,52.8,48.00000000000001,6.000000000000001,56.3,77.0,79.0,10.0,16.0,20.500000000000004,36.4,34.8,28.8,34.8,22.8,17.0,21.0,236.0,131.0,367.0,124.0,16.0,59.0,144.0,226.0,370.0,60.0,17.0,23.000000000000004,39.0,42.0,76.6,39.0,18.0,21.0,1695.0,9.6,30.0,33.0,11.0,48.6,52.0,64.0,14.000000000000002,35.0,28.3,58.3,26.4,33.6,34.8,33.6,MCG,-9.600000000000001,49.6,Sydney Swans,Geelong Cats,win
North Melbourne,Brisbane Lions,0.5000000150000002,9.0,9.0,172.0,144.0,316.0,72.0,14.000000000000002,50.0,115.0,190.0,305.0,47.0,6.000000000000001,9.0,41.00000000000001,30.0,70.9,48.00000000000001,17.0,16.0,1293.0,13.2,18.0,41.00000000000001,6.000000000000001,50.0,70.0,68.0,8.0,18.0,19.1,38.3,32.4,31.2,27.6,28.8,11.0,8.0,215.0,149.0,364.0,87.00000000000001,1.0,68.0,152.0,211.0,363.00000000000006,49.0,9.0,8.0,47.0,51.00000000000001,67.9,54.0,21.0,17.0,1567.0000000000002,20.4,34.8,49.0,8.0,50.0,72.0,74.0,13.0,22.0,22.4,44.900000000000006,31.2,28.8,30.0,31.2,MRVL,-61.6,-9.600000000000001,Adelaide Crows,Collingwood,win
Collingwood,St Kilda,0.5538981804729286,9.600000000000001,10.0,190.60000000000002,160.20000000000002,350.8,59.2,6.000000000000001,66.4,157.0,187.8,344.8,47.400000000000006,13.000000000000002,11.200000000000001,39.2,54.6,68.56,54.0,17.0,18.6,1403.4,10.4,27.44,44.00000000000001,6.800000000000001,41.82,69.80000000000001,68.80000000000001,13.000000000000002,23.200000000000003,20.340000000000003,48.660000000000004,33.72,38.92,28.240000000000002,35.0,15.0,8.8,219.8,153.8,373.6,103.2,4.4,62.60000000000001,137.6,237.20000000000002,374.80000000000007,53.6,14.2,11.4,48.2,41.800000000000004,74.76,39.0,17.6,20.200000000000003,1631.0,15.16,27.72,38.6,10.4,60.2,56.8,66.0,6.800000000000001,24.8,27.920000000000005,46.18000000000001,37.72,35.96,24.0,33.0,MCG,-19.68,20.96,Adelaide Crows,Gold Coast Suns,win
Carlton,Essendon,0.17728210648133608,9.4,8.8,192.8,128.20000000000002,321.0,98.4,14.0,57.800000000000004,119.80000000000001,205.40000000000003,325.2,37.2,10.2,12.600000000000001,28.400000000000002,52.4,73.06,42.6,14.4,19.200000000000003,1411.6,15.08,23.04,30.000000000000004,7.4,46.480000000000004,56.8,56.6,7.000000000000001,20.2,25.340000000000003,29.700000000000003,37.0,33.480000000000004,33.0,31.2,11.400000000000002,6.000000000000001,225.00000000000003,190.8,415.8,103.2,8.6,74.60000000000001,140.4,272.6,413.0,50.400000000000006,8.4,8.4,38.400000000000006,41.2,75.5,44.00000000000001,19.4,20.8,1734.4,10.16,31.560000000000002,46.400000000000006,9.2,61.82,64.2,73.4,8.4,18.400000000000002,22.580000000000002,36.480000000000004,35.96,36.76,28.96,27.560000000000002,MCG,-59.52,-0.3200000000000003,West Coast Eagles,Hawthorn,loss
