@relation playerParsed

@attribute Home numeric
@attribute Away numeric
@attribute Result {loss,win}

@data
1478.700643,1332.188762,win
1437.584692,1331.886808,win
1885.128122,1868.9503,loss
1539.588022,1692.690608,win
1620.605688,1757.864787,win
1284.811111,1785.160849,win
1623.743187,1545.477423,win
1707.057706,1549.687583,loss
1442.172688,1749.121817,loss
1501.125638,1633.747346,win
1466.183817,1459.110143,win
1547.054975,1385.343402,loss
1668.211657,1618.33164,win
1546.502322,1598.622837,win
1399.132554,1778.783388,loss
1620.682463,1519.060655,win
1460.214557,1617.715863,loss
1802.202353,1635.144345,loss
1479.537943,1390.690504,loss
1751.830257,1495.677749,win
1697.018931,1701.556069,win
1609.356678,1740.644986,win
1621.266328,1528.005398,win
1687.152621,1580.44118,win
1349.510295,1376.68702,loss
1759.95008,1599.96311,loss
1707.317175,1370.16571,win
1528.075758,1512.927075,loss
1626.449806,1749.144167,win
1429.608413,1555.452883,win
1524.087035,1293.954646,loss
1966.608876,1588.597128,win
1687.811989,1547.682098,win
1379.039459,1503.699426,loss
1592.203047,1774.230524,loss
1578.661544,1605.156093,loss
1635.552901,1703.622792,win
1549.234552,1588.504351,win
1643.031418,1581.333067,loss
1436.873277,1790.815028,loss
1577.733232,1480.40976,win
1549.552342,1431.935381,win
1417.616572,1505.566858,loss
1567.178698,1596.277147,loss
1382.237469,1706.893295,win
1589.831219,1650.207604,win
1450.126133,1603.766108,win
1692.466394,1672.087476,loss
1665.415284,1435.015235,loss
1249.1678,1526.066103,loss
1371.997633,1710.825227,loss
1583.091653,1692.526499,win
1634.766455,1748.711589,win
1429.496152,1558.972696,loss
1546.323682,1216.809449,win
1502.640528,1550.394975,win
1781.390975,1711.075169,win
1634.186178,1611.076488,win
1658.104306,1709.174294,loss
1621.412013,1421.677839,win
1722.813221,1955.879272,win
1355.159631,1538.043057,loss
1749.677354,1582.615375,loss
1496.214909,1587.784117,win
1512.406622,1474.872423,win
1623.753291,1601.640432,loss
1428.671974,1738.158742,win
1782.897123,1492.021389,win
1488.163884,1585.398708,win
1471.63856,1651.5121,loss
1758.462974,1525.561117,win
1452.522683,1569.457523,win
1725.396052,1532.925944,loss
1675.609491,1805.726379,win
1783.404948,1617.124588,win
1555.314866,1606.370973,loss
1584.985189,1752.607072,loss
1480.499113,1796.509122,loss
1574.503536,1958.723023,loss
1527.36791,1678.812495,win
1282.7372,1613.837499,win
1604.951352,1828.203593,win
1508.524301,1727.670175,win
1456.678918,1698.868741,win
1515.926171,1896.295672,loss
1561.923108,1337.003821,loss
1775.989491,1693.227959,win
1605.644448,1591.061684,loss
1486.057585,1840.935784,win
1544.405104,1685.742259,loss
1792.450635,1402.92618,win
1553.925382,1730.853898,win
1569.69312,1664.226326,win
1630.800829,1665.036965,win
1556.921379,1720.92011,win
1354.593364,1381.245872,win
1362.824748,1658.903922,win
1398.87238,1606.376744,win
1403.794769,1511.13497,win
1773.80808,1562.000089,loss
1589.95396,1704.629458,loss
1476.1081,1703.290127,loss
1564.574476,1751.85506,loss
1612.482551,1654.148225,loss
1612.705115,1595.396778,loss
1743.671253,1488.907054,win
1691.415868,1489.050378,win
1634.382281,1525.6223,win
1512.079678,1747.718497,loss
1446.353455,1363.607862,loss
1699.99051,1408.680898,win
1575.268182,1575.292923,loss
1528.889203,1492.361614,loss
1676.219814,1514.144928,win
1497.695191,1407.53506,loss
1702.296137,1680.576708,win
1789.576375,1723.222232,win
1479.246351,1618.202901,loss
1451.927153,1477.2242,loss
1564.275119,1910.896699,win
1742.235446,1479.32972,loss
1443.829195,1467.247673,win
1566.037786,1585.053341,win
1857.122617,1580.983671,loss
1529.098453,1567.602022,win
1714.9974,1676.333622,win
1582.379283,1371.116958,loss
1522.661344,1754.137414,loss
1646.974469,1746.087647,win
1746.500617,1494.76733,win
1782.85952,1622.604457,win
1538.781517,1377.17395,win
1489.188173,1619.852607,loss
1669.88491,1436.767291,win
1610.895555,1646.138651,win
1634.730572,1695.338783,win
1557.474766,1628.601197,win
1459.863654,1568.150275,loss
1512.432186,1784.970032,win
1669.272154,1533.595412,win
1425.463261,1685.989349,loss
1712.382023,1272.181057,win
1811.230055,1664.097319,win
1480.266997,1573.130821,win
1526.28304,1384.759536,loss
1624.772721,1471.737522,loss
1745.490993,1554.564322,win
1489.908767,1581.877297,win
1520.878768,1613.1096,win
1761.070474,1613.286256,loss
1464.418765,1732.471219,loss
1358.727244,1508.288898,win
1730.779234,1836.646011,loss
1563.000826,1571.469496,win
1542.530371,1994.435962,loss
1732.796875,1670.708691,loss
1475.42945,1731.241343,win
1575.177983,1510.599227,loss
1687.463621,1517.251852,win
1493.808977,1870.126222,loss
1504.965116,1807.190504,loss
1599.022026,1538.188079,win
1436.370027,1752.746949,win
1677.565689,1532.360399,loss
1325.875438,1606.405876,loss
1537.316571,1959.459515,win
1637.924674,1491.242631,loss
1645.212827,1462.40069,win
1512.438405,1588.707044,win
1364.165958,1454.603764,loss
1527.213482,1395.417815,win
1577.618471,1731.110356,win
1656.860228,1780.692724,loss
1598.285611,1625.636583,win
2087.81559,1742.403388,loss
1790.564695,1580.112833,win
1523.738922,1549.772046,win
1553.440223,1590.114052,loss
1572.277803,1667.947784,win
1696.408398,1714.427717,loss
1608.705506,1751.944753,loss
1521.159293,1664.655683,loss
1709.073548,1636.73205,loss
1400.89922,1495.933094,loss
1621.819487,1649.194615,loss
1679.070855,1454.972006,loss
1441.4167,1413.460258,loss
1485.467349,1345.780789,loss
1703.032671,1665.563064,win
1172.077672,1521.080227,loss
1390.928921,1466.899018,win
1665.599959,1407.128512,loss
1582.888563,1749.099344,win
1665.209853,1551.384199,win
1546.866536,1658.29786,loss
1516.885621,1814.525718,win
1406.587047,1873.018422,loss
1766.677611,1375.712792,win
1521.473353,1337.641498,win
1849.285986,1562.579844,win
1546.28856,1545.919992,win
1444.185075,1621.211813,loss
1570.581335,1566.647302,loss
1424.028697,1765.99025,win
1458.011888,1795.063702,win
1647.637531,1657.413224,loss
1456.021973,1805.215161,win
1500.959611,1437.858627,win
1552.808315,1791.304323,win
1504.254189,1639.198511,win
1597.8665,1542.896406,win
1570.037147,1716.552544,loss
1732.506036,1604.004395,loss
1573.654902,1494.262375,win
1676.923203,1850.973119,loss
1661.933298,1554.627775,win
1879.55259,1634.018647,loss
1533.240637,1580.669613,loss
1500.255185,1572.772714,loss
1450.304559,1557.052974,win
1624.80181,1591.272158,win
1744.864106,1705.034076,loss
1511.862739,1747.928498,loss
1566.889347,1590.007574,win
1810.501146,1590.939891,loss
1558.238213,1689.315399,win
1419.317104,1702.886574,win
1667.38292,1644.979128,win
1713.443206,1720.557794,win
1825.787976,1595.796473,loss
1629.909911,1468.609623,win
1595.531033,1795.271655,loss
1569.073301,1590.107401,win
1544.2076,1520.123198,win
1683.419024,1555.21676,loss
1885.955626,1667.400186,loss
1632.395306,1425.534439,win
1810.112955,1630.601218,win
1547.793344,1932.639006,win
1725.610494,1834.347995,loss
1670.384223,1874.795651,loss
1599.379298,1766.312184,win
1576.526981,1397.024129,win
1569.1285,1539.207597,win
1691.534176,1637.972617,loss
