@relation parsed

@attribute home {Richmond,'Western Bulldogs',Essendon,'Adelaide Crows','GWS Giants','Gold Coast Suns','North Melbourne',Hawthorn,'West Coast Eagles',Collingwood,'Geelong Cats','Brisbane Lions',Carlton,'Port Adelaide','Sydney Swans','St Kilda',Melbourne,Fremantle}
@attribute away {Carlton,Collingwood,Fremantle,'Sydney Swans','Geelong Cats','Port Adelaide','St Kilda','Brisbane Lions',Melbourne,Richmond,Hawthorn,'Adelaide Crows','West Coast Eagles','North Melbourne',Essendon,'Western Bulldogs','GWS Giants','Gold Coast Suns'}
@attribute percent numeric
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute zzzz numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa {MCG,MRVL,AO,GS,MS,OS,GMHBA,G,SCG}
@attribute waa numeric
@attribute xaa numeric
@attribute ptpa {'Western Bulldogs','GWS Giants',Hawthorn,Richmond,'Gold Coast Suns','Port Adelaide','Geelong Cats','Adelaide Crows','North Melbourne',Collingwood,'St Kilda',Fremantle,'West Coast Eagles','Sydney Swans',Carlton,Essendon,Melbourne,'Brisbane Lions'}
@attribute ptpb {Carlton,'Brisbane Lions',Essendon,'West Coast Eagles','Sydney Swans',Melbourne,'St Kilda',Fremantle,Collingwood,'Geelong Cats','North Melbourne','Western Bulldogs','Gold Coast Suns','Port Adelaide','GWS Giants',Hawthorn,Richmond,'Adelaide Crows'}
@attribute Result {win,loss}

@data
'Sydney Swans','GWS Giants',0.142445,6.111363,6.163024,157.474689,95.273055,252.747744,61.990304,0.116857,70.154717,112.714158,130.725877,243.440035,34.071161,6.800386,12.015375,26.123587,38.299385,65.66431,54.890153,12.432999,21.365571,1146.518143,11.130862,21.088277,42.274286,5.597986,38.295604,69.928026,60.606884,9.894299,16.3413,17.965852,48.009533,24.253697,26.294716,25.214967,21.407397,8.203586,10.241705,180.469317,131.396177,311.865495,61.632612,1.555006,53.85942,117.065836,187.756402,304.822238,46.092785,7.498699,5.11102,35.559072,57.171548,67.871144,50.034299,24.399352,17.593151,1267.775114,10.337666,32.849057,31.788619,6.288268,44.71144,58.914885,61.836139,19.491703,18.329783,17.925045,40.003406,22.044796,25.166725,21.398994,26.437029,OS,-15.681076,7.602773,Collingwood,Essendon,win
'Geelong Cats','Port Adelaide',0.32333,13.648384,9.333632,194.856665,126.835408,321.692073,94.501441,1.126515,56.262657,111.755399,201.230813,312.986212,41.281272,13.79437,12.590419,29.584579,37.508591,75.787711,33.70924,14.271488,13.917524,1438.974453,14.597813,25.877988,36.474269,9.089268,53.269061,45.287531,50.384246,10.008793,25.730368,33.266714,62.52056,27.102262,28.050667,28.120517,23.288194,12.116704,13.539056,170.459957,146.744128,317.204085,53.433452,1.849017,69.638402,151.630859,173.64646,325.277319,51.408768,11.084136,13.376903,32.390365,41.339598,71.441292,45.851331,21.182508,11.711882,1345.896023,22.101875,25.957165,16.70898,8.625195,43.556929,57.44261,60.922904,11.652743,27.831099,23.497696,53.923991,27.165022,27.609843,26.035676,22.786069,MS,52.377495,20.333362,'St Kilda',Richmond,win
'North Melbourne','Brisbane Lions',0.073993,6.110312,4.676596,174.217913,159.667158,333.885071,66.27376,6.310489,52.345756,121.756581,212.369983,334.126563,33.04876,5.158287,6.449525,28.295755,39.913362,73.325981,49.804421,18.858155,13.837367,1295.342837,12.914072,16.989678,41.750167,4.14275,45.531176,72.13181,60.473059,11.834246,13.28697,17.981845,40.979274,25.753235,21.920129,21.130763,16.159968,12.351719,12.630694,187.580935,104.539913,292.120849,80.455182,1.057875,47.468,110.895145,176.188163,287.083309,50.338695,9.82227,6.441342,38.249233,39.483965,72.90275,35.782474,11.00262,12.043069,1299.516562,19.985007,23.324113,35.256811,7.748253,48.357959,46.255452,50.796585,17.057074,25.075682,24.071262,50.067353,24.7407,28.51607,21.596736,22.222501,MS,-48.792068,14.702625,Melbourne,'Western Bulldogs',win
Melbourne,Collingwood,0.447132,12.674283,13.112112,189.430584,142.194942,331.625526,78.497278,2.727174,45.909847,130.310643,203.700372,334.011015,54.938586,12.221219,11.561037,14.217838,39.234573,72.468695,50.791354,13.79321,20.083497,1328.371992,10.998285,15.439337,25.852917,9.130134,45.029501,62.673733,73.169553,11.357182,28.238993,23.106926,51.207279,24.348834,21.741261,21.804767,26.411047,9.235167,4.136367,183.800731,140.956417,324.757148,75.357352,1.969521,59.921189,112.496751,209.223394,321.720144,43.286402,9.826058,7.897024,29.552832,41.493421,72.699881,47.201882,20.136798,12.055865,1371.181989,10.617914,29.450297,25.205906,4.699308,50.675579,60.672131,57.029732,8.134065,18.63316,21.613043,43.001772,19.451536,28.172704,28.273008,17.458076,G,52.16037,19.869258,'North Melbourne','Adelaide Crows',win
Fremantle,Carlton,0.5173,7.31394,5.111565,200.222223,168.006349,368.228572,79.493988,3.598444,55.806252,133.371182,237.07935,370.450532,36.138578,10.683395,8.720586,30.840509,47.812275,74.987268,45.990807,15.444959,13.290611,1452.95393,10.410873,24.989435,28.860815,6.151135,51.207921,63.46036,64.983501,9.420564,14.112714,20.225764,39.046397,25.496157,26.714404,22.771822,18.164865,7.40863,7.416163,152.160789,99.767838,251.928627,59.732634,2.954637,73.04006,115.145119,133.409414,248.554532,42.988742,3.881802,13.409341,30.418693,37.902281,66.050439,41.736738,14.337647,15.743329,1174.161458,10.854506,29.968142,23.209161,3.261758,49.609107,50.925986,56.1916,16.485831,14.991381,17.46714,35.011213,27.363732,25.228285,23.007222,24.428402,OS,13.515999,-22.293188,Hawthorn,'West Coast Eagles',win
'Western Bulldogs','Adelaide Crows',0.97151,9.8893,7.015978,158.108034,147.219901,305.327935,60.258339,2.767038,49.397866,123.003967,183.221048,306.225015,45.2746,9.193113,7.627494,23.887842,44.30751,72.628399,42.777422,12.655226,10.85473,1215.158919,11.591445,21.516479,35.931784,7.262251,60.977209,52.152491,48.51012,9.893675,16.508606,21.571516,36.851157,29.558452,24.756373,26.350494,24.268378,5.087008,7.85695,153.402091,119.270266,272.672357,65.838379,1.625973,55.077517,113.079275,157.318197,270.397472,30.779855,4.834925,12.409654,27.639535,36.179739,70.758172,52.15705,14.449029,19.421789,1135.725053,7.460908,28.228032,30.972656,2.857888,37.87095,55.982928,60.890863,8.078548,13.460049,16.558426,43.68133,21.297192,25.881514,23.696845,25.105029,MS,-22.516728,-29.62663,'Brisbane Lions',Collingwood,win
'St Kilda',Essendon,0.578189,5.695709,9.328278,159.452465,116.477979,275.930444,56.345141,3.566702,39.025138,121.397004,157.490538,278.887542,43.967967,7.233552,7.508316,28.310057,47.976151,66.228797,38.053313,13.923736,14.92387,1074.658151,12.244191,25.073169,27.428457,3.81051,32.824687,51.188796,49.183315,7.686174,16.363896,12.649923,37.024085,24.550486,28.799428,24.424562,21.139897,10.245487,7.106251,176.750041,136.459593,313.209634,72.089415,6.659488,44.043978,117.361896,183.768729,301.130625,46.353155,11.885894,10.477986,24.023342,35.670103,71.230816,49.005456,16.500751,14.658545,1258.774674,13.432194,21.472397,31.268197,8.058189,52.471864,54.806759,58.407279,6.784635,19.398809,21.977383,41.917069,23.581868,28.502903,24.892218,28.445847,G,-44.649382,-2.686203,'Geelong Cats','Gold Coast Suns',win
'West Coast Eagles',Hawthorn,0.844598,11.209603,6.079337,179.779137,103.206177,282.985314,74.325444,1.699554,54.055626,118.355514,162.717421,281.072934,36.659455,9.30729,11.659164,46.545983,47.950572,70.472095,42.345465,14.381503,12.302579,1282.13236,14.610041,36.953018,34.566896,8.035034,59.847445,55.186546,48.808705,10.296167,18.751733,30.842782,51.348015,25.299005,23.410422,23.22687,27.779498,5.714976,7.604289,162.530432,121.845661,284.376094,64.037166,1.287378,41.601206,116.769749,170.189754,286.959503,35.080655,7.179995,9.235662,27.797793,55.240144,68.85277,48.382587,15.101522,16.685139,1121.928775,9.067705,24.12254,28.673252,4.073245,40.499622,62.722452,62.459406,6.242167,13.152718,15.584107,36.824579,26.714879,18.158815,17.608447,17.503905,OS,21.3921,-8.388445,Carlton,Fremantle,win
Richmond,'Gold Coast Suns',0.850443,11.190235,6.890692,148.3939,103.479496,251.873397,53.458589,3.369955,62.566602,110.519286,135.654084,246.173371,28.151755,6.360583,8.008635,33.76148,34.261409,68.979157,52.967855,11.507767,21.322133,1115.087436,7.500038,19.701932,38.648364,6.585549,69.863005,59.329803,56.330075,5.18534,16.249992,41.989839,59.493208,26.124255,31.677786,24.794362,19.945037,10.745887,7.316493,167.555678,91.22209,258.777768,62.29302,2.101391,43.456552,117.610499,133.619908,251.230407,44.187735,9.304385,7.702104,31.14971,38.750238,65.621671,41.373022,13.105183,16.37971,1111.644957,16.102846,24.055057,35.634523,5.702705,49.782142,61.232063,56.276636,5.02244,21.543075,24.387134,49.060633,25.124183,27.934838,26.660172,26.705301,G,-8.932579,-1.469031,'Port Adelaide',Essendon,win
