@relation out

@attribute home {Mystics,Pulse,Stars,Steel,Magic,Tactix}
@attribute away {Steel,Magic,Tactix,Stars,Pulse,Mystics}
@attribute rea numeric
@attribute gfcpa numeric
@attribute gfta numeric
@attribute pa numeric
@attribute tipa numeric
@attribute ga numeric
@attribute posa numeric
@attribute oraa numeric
@attribute gma numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 0 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute ba numeric
@attribute passa numeric
@attribute gaa numeric
@attribute da numeric
@attribute tuwa numeric
@attribute cpra numeric
@attribute opa numeric
@attribute fea numeric
@attribute goalsa numeric
@attribute offa numeric
@attribute badpa numeric
@attribute dra numeric
@attribute breaka numeric
@attribute blocka numeric
@attribute badha numeric
@attribute mgta numeric
@attribute gfga numeric
@attribute sia numeric
@attribute goalaa numeric
@attribute deflaa numeric
@attribute cpa numeric
@attribute turna numeric
@attribute picka numeric
@attribute intera numeric
@attribute rb numeric
@attribute gfcpb numeric
@attribute gftb numeric
@attribute penb numeric
@attribute tipb numeric
@attribute gainb numeric
@attribute possb numeric
@attribute orb numeric
@attribute gmb numeric
@attribute bb numeric
@attribute passb numeric
@attribute gasdfb numeric
@attribute dispb numeric
@attribute tuwb numeric
@attribute cprb numeric
@attribute opb numeric
@attribute feedb numeric
@attribute goalsb numeric
@attribute offb numeric
@attribute bpb numeric
@attribute drb numeric
@attribute breakb numeric
@attribute blockb numeric
@attribute bhb numeric
@attribute mgtb numeric
@attribute gfgb numeric
@attribute sib numeric
@attribute gab numeric
@attribute deflb numeric
@attribute turnb numeric
@attribute pickb numeric
@attribute interb numeric
@attribute h0 numeric
@attribute m0 numeric
@attribute h1 numeric
@attribute m1 numeric
@attribute h2 numeric
@attribute m2 numeric
@attribute h3 numeric
@attribute m3 numeric
@attribute one numeric
@attribute two numeric
@attribute three numeric
@attribute four numeric
@attribute five numeric
@attribute six numeric
@attribute seven numeric
@attribute eight numeric
@attribute result {LOSS,WIN}

@data
Tactix,Stars,8.03,28.72,8.18,60.18,0,26.765766,27.29,11.08,10.11,47.46,14.06,140.08,13.71,0.09,90.56,5.41,38.92,157.66,0,44.62,8.72,90.56,43.99,1.2,1.87,28.835498,0.18,0.9,3.08,0,7.09,802,5.41,33.08,57.7,50.47,53.63,10.35,4.57,0,20.04,7.12,4.56,3.52,0,0,19.76,2.8,9.2,34.4,14.5,67.6,0,45.256917,30.6,9.2,4.3,49.3,8.1,160.6,12.7,0.9,82,2.1,50.1,165.9,0,55.5,16,82,54.6,2.5,4.8,33.157895,0.9,0.9,4.8,0,5.7,8120,2.1,34.8,67.3,51.6,62.4,7.9,2.1,0,32.6,9.2,4.2,3,0,0,18.4,1.2,WIN
Stars,Magic,5.42,34.94,8.65,63.46,0,29.353278,21.06,12.62,4.03,51.73,14.31,154.66,13.87,0.99,77.5,5.61,45.51,156.09,0,46.95,16,77.5,48.66,3.85,4.08,16.172932,0.99,0.99,2.28,0,5.07,8120,5.61,28.68,62.53,43.86,59.34,11.59,6.51,0,20.92,5.84,10.44,6.2,0,0,18.08,1.84,4.83,31.31,6.91,62.67,0,25.362791,27.87,7.77,6.87,46.41,16.52,140.68,8.32,0,90.35,5.89,45.02,157.66,0,47.52,12.8,90.35,47.13,2.04,5.52,0.972028,1,0.1,7.51,0,8.91,809,5.89,33.07,55.45,49.87,53.33,9.2,5.92,0,29.28,3.56,2.88,4.12,0,0,15.56,1,WIN
Tactix,Mystics,10.703,29.872,10.718,60.918,0,38.033719,26.129,15.508,7.311,47.946,13.106,148.108,11.271,0.909,81.956,2.341,43.492,154.366,0,47.662,13.472,81.956,48.499,5.52,4.687,27.429004,1.818,0.99,1.208,0,7.909,802,2.341,29.408,59.77,46.447,53.963,10.035,4.057,0,28.008,7.024,4.112,2.304,0,0,15.952,2.16,3.313,36.026,7.441,54.096,0,26.514542,23.415,12.356,6.578,49.168,14.977,152.086,12.144,0.09,83.797,4.298,46.973,164.051,0,48.542,8.532,83.797,52.598,1.838,3.073,12.282257,0.011,0.103,4.34,0,9.131,805,4.298,28.532,64.742,45.564,58.722,7.097,9.471,0,23.296,10.224,5.216,2.272,0,0,24.312,0.696,LOSS
Pulse,Steel,5.963,36.427,13.625,62.231,0,40.18079,23.275,8.043,5.821,53.869,13.451,162.897,8.966,0.091,84.25,3.193,55.822,171.956,0,49.737,15.414,84.25,60.183,0.093,2.199,31.369091,1.089,0,4.691,0,10.131,803,3.193,28.168,69.149,46.817,64.696,9.103,7.284,0,32.688,4.528,8.744,1.784,0,0,18.032,2.576,10.186,37.067,10.647,50.038,0,38.683814,25.204,13.509,9.435,50.904,13.769,162.323,10.322,0.094,78.425,1.913,49.628,162.389,0,52.096,5.462,78.425,56.674,3.702,3.078,47.628688,2.8,0,1.009,0,8.96,808,1.913,26.396,66.996,44.575,60.571,7.631,6.803,0,34,8.176,0.072,0.088,0,0,23.04,2.432,WIN
Steel,Stars,8.2186,30.7067,5.5647,48.2038,0,21.868381,34.0204,10.3509,13.5435,45.5904,12.1769,140.4323,15.4322,0.0094,76.2425,1.9913,38.2628,143.1389,0,52.0096,11.3462,76.2425,41.6674,0.3702,6.6078,21.637869,0.28,0,0.1009,0,5.396,808,1.9913,38.6396,57.0996,35.9575,51.9571,6.1631,6.0803,0,19.6,7.2352,0.8144,2.4176,0,0,23.008,5.2864,5.042,40.394,6.265,66.646,0,20.935328,28.206,12.062,11.203,48.373,13.131,152.266,13.087,0.099,88.75,2.361,48.651,165.909,0,51.495,8.8,88.75,52.566,0.385,5.808,15.463447,0.999,0.099,2.028,0,5.907,8120,2.361,35.268,65.653,57.486,62.634,8.359,7.851,0,20.184,5.968,10.088,6.04,0,0,22.016,1.168,WIN
Mystics,Pulse,4.8313,35.1026,10.6441,63.9096,0,42.251454,20.3415,10.2356,8.7578,50.8168,11.3977,170.9086,16.5144,0.009,79.4797,6.7298,40.6973,164.0051,0,51.6542,20.6532,79.4797,52.9598,0.1838,4.8073,22.404696,0.0011,0.9103,1.334,0,7.2131,805,6.7298,24.4532,69.4742,43.2564,58.0722,18.7097,3.6471,0,17.4592,6.8448,3.4432,2.0544,0,0,32.0624,7.3392,8.6963,38.7427,12.1625,46.7231,0,31.018079,20.3275,9.8043,5.9821,54.8869,23.8451,194.4897,13.4966,0.0091,88.525,6.6193,60.4822,189.9956,0,54.4737,8.7414,88.525,69.9183,2.7093,2.0199,35.279766,1.0089,0,1.3691,0,19.0131,803,6.6193,25.3168,83.4149,36.1817,74.8696,9.9103,13.3284,0,34.5376,5.7056,5.7488,5.1568,0,0,28.4064,2.1152,WIN
Tactix,Magic,13.6703,35.3872,1.9718,51.0918,0,7.553372,23.3129,15.0508,3.4311,48.8946,15.7106,153.4108,14.6271,0.9909,76.5956,3.8341,40.3492,152.2366,0,45.2662,13.0472,76.5956,48.9499,0.552,6.7687,56.7429,0.1818,0.099,2.8208,0,11.5909,802,3.8341,25.4408,63.577,37.9447,53.0963,8.2035,8.5057,0,20.8016,8.6048,0.8224,1.2608,0,0,27.1904,4.432,6.783,37.331,12.391,55.767,0,35.036279,26.187,6.177,7.887,51.441,17.852,160.768,7.132,0,95.435,0.589,58.502,177.766,0,51.552,8.48,95.435,62.313,1.104,5.052,12.954346,2.8,0.01,4.351,0,12.591,809,0.589,30.307,69.445,47.287,67.433,8.12,11.392,0,38.656,4.712,2.176,1.624,0,0,19.912,1,LOSS
Stars,Steel,2.3042,48.1394,8.7265,60.6646,0,56.093533,12.7206,15.6062,6.5203,48.0373,4.9131,151.1266,6.7087,0.0099,111.475,2.0361,57.9651,192.0909,0,56.4495,8.08,111.475,60.1566,2.7385,1.4808,16.546345,1.8999,0.0099,1.1028,0,3.2907,8120,2.0361,17.0268,66.8653,52.5486,64.7634,8.0359,1.6851,0,32.8368,4.3936,2.8176,2.008,0,0,23.6032,1.0336,9.82186,48.97067,5.05647,50.72038,0,32.186838,16.00204,11.83509,2.25435,51.35904,9.31769,174.24323,15.94322,0.00094,101.22425,0.19913,47.02628,189.81389,0,61.00096,8.33462,101.22425,60.86674,0.03702,4.26078,41.538787,2.728,0,3.61009,0,6.8396,808,0.19913,17.36396,76.80996,42.29575,60.99571,8.71631,6.00803,0,30.32,9.44704,0.16288,1.28352,0,0,28.6016,5.05728,WIN
Tactix,Magic,13.06703,29.63872,9.19718,58.20918,0,28.880337,30.23129,14.10508,3.04311,48.08946,17.77106,166.54108,22.16271,0.09909,100.35956,4.88341,40.03492,179.02366,0,47.72662,12.10472,100.35956,48.09499,0.9552,3.37687,40.891681,0.01818,0.9099,5.68208,0,9.25909,802,4.88341,34.94408,70.2577,46.09447,59.30963,12.52035,10.75057,0,18.56032,12.92096,3.36448,2.65216,0,0,26.23808,5.6864,6.9783,34.3331,12.9391,55.9767,0,36.003628,29.6187,11.4177,10.6887,51.9441,15.2852,163.6768,11.5132,0.9,86.9435,7.2589,49.0502,168.9766,0,45.6552,12.548,86.9435,55.7313,1.9104,3.2052,23.795435,2.08,0.001,3.1351,0,8.4591,809,7.2589,31.8307,67.2445,43.4287,61.6433,17.912,3.8392,0,26.1312,8.1424,2.8352,0.3248,0,0,27.1824,2.6,LOSS
Pulse,Mystics,9.86963,32.67427,8.41625,51.47231,0,20.662784,24.53275,11.78043,5.99821,49.58869,28.48451,172.44897,7.64966,0.90091,84.4525,6.96193,53.74822,162.99956,0,46.84737,3.57414,84.4525,60.99183,2.07093,2.90199,16.385119,1.00089,0,6.43691,0,19.90131,803,6.96193,28.63168,68.64149,47.71817,60.58696,17.19103,13.03284,0,29.30752,4.34112,7.54976,2.63136,0,0,24.88128,1.22304,7.68313,26.91026,6.46441,48.69096,0,22.845835,29.93415,15.42356,12.57578,50.98168,11.93977,142.19086,16.95144,0.0009,79.04797,1.57298,33.76973,150.50051,0,46.56542,13.76532,79.04797,39.49598,0.01838,2.28073,18.122823,0.00011,0.99103,2.8334,0,6.12131,805,1.57298,39.34532,56.44742,34.92564,49.90722,9.07097,5.76471,0,11.49184,2.16896,8.68864,10.01088,0,0,20.81248,4.66784,LOSS
