@relation out

@attribute home {Mystics,Pulse,Stars,Steel,Magic,Tactix}
@attribute away {Steel,Magic,Tactix,Stars,Pulse,Mystics}
@attribute rea numeric
@attribute gfcpa numeric
@attribute gfta numeric
@attribute pa numeric
@attribute tipa numeric
@attribute ga numeric
@attribute posa numeric
@attribute oraa numeric
@attribute gma numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 0 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute ba numeric
@attribute passa numeric
@attribute gaa numeric
@attribute da numeric
@attribute tuwa numeric
@attribute cpra numeric
@attribute opa numeric
@attribute fea numeric
@attribute goalsa numeric
@attribute offa numeric
@attribute badpa numeric
@attribute dra numeric
@attribute breaka numeric
@attribute blocka numeric
@attribute badha numeric
@attribute mgta numeric
@attribute gfga numeric
@attribute sia numeric
@attribute goalaa numeric
@attribute deflaa numeric
@attribute cpa numeric
@attribute turna numeric
@attribute picka numeric
@attribute intera numeric
@attribute rb numeric
@attribute gfcpb numeric
@attribute gftb numeric
@attribute penb numeric
@attribute tipb numeric
@attribute gainb numeric
@attribute possb numeric
@attribute orb numeric
@attribute gmb numeric
@attribute bb numeric
@attribute passb numeric
@attribute gasdfb numeric
@attribute dispb numeric
@attribute tuwb numeric
@attribute cprb numeric
@attribute opb numeric
@attribute feedb numeric
@attribute goalsb numeric
@attribute offb numeric
@attribute bpb numeric
@attribute drb numeric
@attribute breakb numeric
@attribute blockb numeric
@attribute bhb numeric
@attribute mgtb numeric
@attribute gfgb numeric
@attribute sib numeric
@attribute gab numeric
@attribute deflb numeric
@attribute turnb numeric
@attribute pickb numeric
@attribute interb numeric
@attribute result {LOSS,WIN}

@data
Mystics,Tactix,6.069182,40.73141,7.766558,55.392649,71.39912,31.604934,20.495559,18.988963,5.175594,48.434739,9.749985,158.074333,14.181609,1.00089,93.271506,3.036102,49.849817,173.436707,0,52.196928,13.571998,93.271506,54.967051,0.019002,1.117935,36.095771,2.7027,0.009009,1.310528,0,6.469083,7388.419408,3.036102,26.572066,69.14866,41.81885,63.941407,10.794037,5.812883,60.3,4.367376,28.96099,7.438197,49.787626,58.851829,29.039592,25.494007,12.934821,6.010714,49.964052,10.381412,132.775525,10.141362,0.90009,65.593266,3.999714,36.029116,129.318005,0,47.28898,12.662006,65.593266,42.871316,1.893828,4.909071,29.60727,0.090001,0.0018,3.613087,0,6.472128,802.002701,3.999714,28.430297,53.012678,37.12544,44.360587,8.371503,5.022403,54,LOSS
Pulse,Steel,2.507136,31.469351,14.456511,62.058798,63.590674,50.758348,22.689233,8.355072,4.991962,49.804605,10.098403,144.861747,7.364735,0,75.684877,2.954986,49.857219,148.856753,0,46.969303,11.744757,75.684877,52.987246,1.108801,6.789091,14.810221,0.183002,0.909918,0.199442,0,7.061384,803.018504,2.954986,24.762963,60.351982,50.133951,57.364056,12.555437,5.830008,63,11.846983,32.445354,9.36168,42.103644,62.289167,31.046491,23.098036,15.32507,2.481998,52.855719,14.636726,160.822318,19.211333,0.999001,95.622716,2.828981,43.590113,173.541686,0,49.305472,10.765899,95.622716,48.599851,2.727919,3.901618,25.749506,0.189181,0.000009,7.596498,0,6.792817,807.999589,2.828981,31.586222,67.811184,31.337744,62.611646,13.166795,6.756807,45,WIN
Magic,Stars,11.339175,33.208675,7.927354,58.995132,62.052111,25.532166,25.047922,10.712265,5.902551,47.2468,16.500179,179.570591,15.638698,0.010801,75.88078,7.593576,42.982057,161.993095,0,52.129509,14.300535,75.88078,53.441716,2.988937,4.117889,30.348506,0.00901,0.90909,4.888919,0,12.305687,808.959162,7.593576,30.011763,69.080414,44.694597,58.808908,19.19779,2.387325,68.4,8.48132,40.341008,9.00062,45.443441,70.58354,35.514011,22.704756,10.377003,4.995671,51.964509,13.35902,167.673142,11.148425,0.000091,84.114815,4.640709,50.10832,167.183755,0,53.330991,20.698092,84.114815,57.969664,4.692717,1.020904,41.989246,1.989,0.909909,4.77489,0,8.628035,1536.493344,4.640709,24.020767,69.118088,23.844449,62.156022,13.213193,4.928091,58.158,LOSS
